Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
HRA/DEPT OF SOCIAL SERVICES,External,1,COMMUNITY ENGAGEMENT MANAGER,ADMIN COMMUNITY RELATIONS SPEC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),64749,90000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),62.74,62.74,Hourly
ADMIN FOR CHILDREN'S SVCS,External,1,Senior Payment Processor,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,81203,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Office Manager,CLERICAL ASSOCIATE,Competitive-1,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),40017,62820,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,City Mortuary Technician,City Mortuary Technician,Labor-3,Health,F,Entry-Level,38811,44633,Annual
DEPARTMENT OF CORRECTION,External,1,Deputy Director of Law Library,AGENCY ATTORNEY,Non-Competitive-5,Constituent Services & Community Programs Legal Affairs Social Services,F,Experienced (non-manager),63228,72712,Annual
POLICE DEPARTMENT,Internal,1,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
LAW DEPARTMENT,Internal,3,PARALEGAL AIDE -TORT,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),43197,49677,Annual
LAW DEPARTMENT,Internal,3,PARALEGAL AIDE -TORT,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),43197,49677,Annual
DEPARTMENT OF CORRECTION,External,3,Evidence Collection Technician,CORRECTIONAL STANDARDS REVIEW,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),49449,56866,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,PLUMBER,PLUMBER,Competitive-1,Building Operations & Maintenance Social Services,F,Experienced (non-manager),369.53,369.53,Daily
MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"Design Lead, Mayor's Office for Economic Opportunity",RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,"Technology, Data & Innovation Policy, Research & Analysis Social Services",F,Manager,90000,105000,Annual
DEPARTMENT OF TRANSPORTATION,External,7,Machinist,MACHINIST,Competitive-1,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,Experienced (non-manager),298.24,347.2,Daily
DEPT OF ENVIRONMENT PROTECTION,External,1,"Section Chief â EHS Assessments, Measurement & Post Event Reviews",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),94715,136260,Annual
HUMAN RIGHTS COMMISSION,Internal,1,Associate Human Rights Specialist,ASSOCIATE HUMAN RIGHTS SPECIAL,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),58449,67216,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Community Liaison,ADMIN COMMUNITY RELATIONS SPEC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),64749,100000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Risk Management Program (RMP) Compliance Coordinator,ASSOCIATE PUBLIC HEALTH SANITA,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),67335,77435,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",PUBLIC HEALTH SANITARIAN,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,45722,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,HOUSING COURT COORDINATOR,ASSOCIATE JOB OPPORTUNITY SPEC,Competitive-1,Social Services,F,Experienced (non-manager),67000,98484,Annual
NYC HOUSING AUTHORITY,External,2,Environmental Inspector,CONSTRUCTION PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),72063,122168,Annual
NYC HOUSING AUTHORITY,External,1,Senior Compliance Manager,ADMINISTRATIVE QUALITY ASSURAN,Competitive-1,"Finance, Accounting, & Procurement",F,Manager,120000,135000,Annual
DEPT OF PARKS & RECREATION,Internal,1,Field Technician Leader,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),80000,90000,Annual
DEPT OF PARKS & RECREATION,Internal,1,Field Technician Leader,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),80000,90000,Annual
NYC HOUSING AUTHORITY,Internal,1,SUPERVISOR CARPENTER,SUPERVISOR CARPENTER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),56.8,56.8,Hourly
NYC HOUSING AUTHORITY,External,1,Electrician's Helper,ELECTRICIANS HELPER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),39.9,39.9,Hourly
BRONX DISTRICT ATTORNEY,External,4,Special Officer,SPECIAL OFFICER,Competitive-1,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),40554,40554,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,COMMUNITY COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
DEPARTMENT OF CORRECTION,External,1,"Executive Director, Criminal Justice Bureau",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Policy, Research & Analysis",F,Manager,72038,192152,Annual
NYC HOUSING AUTHORITY,Internal,1,Director of Public Housing Tenancy Operations,ADMINISTRATIVE HOUSING MANAGER,Competitive-1,"Policy, Research & Analysis",F,Manager,80931,208826,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Project Manager II,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Deputy Director of the Affordable Neighborhood Cooperative Program (ANCP),ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,Constituent Services & Community Programs,F,Manager,90000,100000,Annual
BRONX DISTRICT ATTORNEY,Internal,6,Senior Rackets Investigator,SENIOR RACKETS INVESTIGATOR,Non-Competitive-5,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),70877,70877,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Deputy Chief of Staff for the Division of HPD Tech,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,"Technology, Data & Innovation",F,Manager,80000,90000,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Program Manager, Strategic Planning",ADMINISTRATIVE SPACE ANALYST,Competitive-1,Administration & Human Resources,F,Manager,80000,90000,Annual
MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"Analyst, Procurement Operations (HHS/Non-Construction)",RESEARCH PROJECTS COORDINATOR,Pending Classification-2,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),50000,60000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,3,Borough Supervisor,SUPERVISOR,Competitive-1,"Constituent Services & Community Programs Engineering, Architecture, & Planning Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),62475,78345,Annual
HRA/DEPT OF SOCIAL SERVICES,External,2,UNIT CLERK,CLERICAL ASSOCIATE,Competitive-1,Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),36390,41848,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Assistant General Counsel,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,75760,Annual
DEPARTMENT OF CORRECTION,External,1,Bricklayer,BRICKLAYER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),380.94,380.94,Daily
DEPARTMENT OF CITY PLANNING,Internal,1,SENIOR DATA ANALYST,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84451,95000,Annual
DEPARTMENT OF BUSINESS SERV.,Internal,1,"PROGRAM MANAGER, PTAC/VENDOR SERVICES",COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,3,Analyst  ECONOMIC DEVELOPMENT,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51550,73806,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Systems Administrator,*CERTIFIED LOCAL AREA NETWORKA,Non-Competitive-5,Social Services,F,Experienced (non-manager),81951,111330,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Water Ecologist, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),65877,75758,Annual
CAMPAIGN FINANCE BOARD,External,1,"LANGUAGE ACCESS SPECIALIST, SPANISH",ANALYST CFB AL 2&3 ONLY,Pending Classification-2,Communications & Intergovernmental Affairs,F,Entry-Level,60000,70000,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Data Analyst for the Office of Neighborhood Strategies,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),60000,70000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,3,ASSOC. CHEMIST,ASSOCIATE CHEMIST,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45193,77500,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,Stock Worker,STOCK WORKER,Competitive-1,"Administration & Human Resources Finance, Accounting, & Procurement",F,Experienced (non-manager),36900,41697,Annual
NYC HOUSING AUTHORITY,Internal,1,Design Program Manager,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),74650,109409,Annual
ADMIN FOR CHILDREN'S SVCS,External,6,Enrollment Specialist,COMMUNITY ASSOCIATE,Non-Competitive-5,Social Services,F,Experienced (non-manager),38333,44083,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,1,Associate Commissioner for Neighborhood Strategies,DEPUTY COMMISSIONER (HOUSING P,Exempt-4,"Policy, Research & Analysis",F,Executive,165970,165970,Annual
DEPARTMENT OF CORRECTION,Internal,1,Program Coordinator - Workforce,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Entry-Level,54100,62215,Annual
DEPARTMENT OF CORRECTION,External,2,Operations Research Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Child Protective Manager,DIRECTOR OF FIELD OPERATIONS (,Non-Competitive-5,Social Services,F,Manager,58700,102226,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Injury Epidemiologist, Bureau of Environmental Disease and Injury Prevention",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",F,Experienced (non-manager),75504,86830,Annual
DEPARTMENT OF FINANCE,External,1,Supervising  Director of Property Exemptions Customer Engagement,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),85939,125000,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Unit Head  CUNY Expense and Revenue,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,103307,103307,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Director of Beacon Community Centers,ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),58700,192152,Annual
DEPARTMENT FOR THE AGING,Internal,1,"Director, Ombuds Office",ADMINISTRATIVE  PROGRAM OFFICE,Competitive-1,"Constituent Services & Community Programs Policy, Research & Analysis Social Services",F,Manager,110000,110000,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Executive Director of Operations,ADMINISTRATIVE DIRECTOR OF RES,Competitive-1,Social Services,F,Manager,72038,127481,Annual
DEPARTMENT FOR THE AGING,External,1,Borough Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Director, Building Optimization",ADMINISTRATIVE SUPERVISOR OF B,Competitive-1,Building Operations & Maintenance,F,Manager,100000,125000,Annual
DEPARTMENT OF FINANCE,External,1,"Manager, Employee Relations & Special Programs",ASSOCIATE STAFF ANALYST,Competitive-1,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),81203,90100,Annual
BRONX DISTRICT ATTORNEY,External,1,Senior Planning Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),86830,86830,Annual
NYC HOUSING AUTHORITY,External,2,Senior Project Manager,ADM HOUSING DEV SPEC(NON MGRL),Competitive-1,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Manager,85000,100000,Annual
NYC HOUSING AUTHORITY,External,1,Architectural Designer,ASSISTANT ARCHITECT,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
MAYORS OFFICE OF CONTRACT SVCS,Internal,1,Human Resources Generalist,RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,Administration & Human Resources,F,Manager,70000,75000,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Pension Analysis,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,65604,83399,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,"Analyst, Incentives",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),75504,86830,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,ENGAGEMENT COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Engineering Technician,ENGINEERING TECHNICIAN,Competitive-1,"Engineering, Architecture, & Planning",,Experienced (non-manager),42114,48431,Annual
DEPT OF PARKS & RECREATION,Internal,1,IT Contract Analyst,IT PROJECT SPECIALIST,Non-Competitive-5,"Finance, Accounting, & Procurement Technology, Data & Innovation",F,Experienced (non-manager),75000,85000,Annual
DEPT OF PARKS & RECREATION,Internal,1,IT Contract Analyst,IT PROJECT SPECIALIST,Non-Competitive-5,"Finance, Accounting, & Procurement Technology, Data & Innovation",F,Experienced (non-manager),75000,85000,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Summons & Permitting Support Staff,CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources Communications & Intergovernmental Affairs,,Entry-Level,40017,62820,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,4,"Early Childhood Education Consultant, Bureau of Childcare",CONSULTANT (EARLY CHILDHOOD ED,Competitive-1,Health,F,Experienced (non-manager),66442,72000,Annual
DEPARTMENT OF CORRECTION,External,1,Executive Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Administration & Human Resources Technology, Data & Innovation",F,Experienced (non-manager),53057,61015,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Procurement Optimization Analyst, Office of the Agency Chief Contracting Officer",ADMINISTRATIVE CONTRACT SPECIA,Competitive-1,"Finance, Accounting, & Procurement Health",,Experienced (non-manager),58700,85000,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,"Security Consultant, Horizon",COMMUNITY COORDINATOR,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",P,Experienced (non-manager),30,45.9666,Hourly
NYC HOUSING AUTHORITY,External,1,SMOKE-FREE NYCHA LIAISON,COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs,F,Entry-Level,38333,63794,Annual
DEPARTMENT FOR THE AGING,Internal,1,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Constituent Services & Community Programs Social Services,P,Student,15.5,19.9,Hourly
HOUSING PRESERVATION & DVLPMNT,External,1,Team Leader for the Division of Tenant Resources,COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),61015,61015,Annual
LAW DEPARTMENT,External,1,Network Engineer - IT Division,CERTIFIED IT ADMINISTRATOR (LA,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),98901,120000,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Corporate Governance Coordinator,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,100000,115000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Project Manager,ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,57078,85646,Annual
BRONX DISTRICT ATTORNEY,External,5,Assistant District Attorney General Counsel Division: Civil Litigation Bureau / FOIL Unit,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Communications & Intergovernmental Affairs Legal Affairs Public Safety, Inspections, & Enforcement",F,Manager,84000,167610,Annual
FIRE DEPARTMENT,External,1,Program Data Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),84468,111003,Annual
FIRE DEPARTMENT,External,1,Agency Attorney,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,117541,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,5,"Clearance Supervisor, Bureau of Childcare",ASSOCIATE INVESTIGATOR (NOT PR,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60132,69152,Annual
DEPARTMENT OF CORRECTION,Internal,4,Legal Coordinator,LEGAL COORDINATOR,Competitive-1,Legal Affairs,F,Entry-Level,47418,54531,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Chief, GIM Administration & Technical Services Unit",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Administration & Human Resources Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,94715,136260,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Exterminator, Bureau of Veterinary and Pest Control Services",EXTERMINATOR,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),34027,47967,Annual
FIRE DEPARTMENT,Internal,1,WTC Applications Development Manager,TELECOMMUNICATIONS MANAGER (NO,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,135000,Annual
NYC HOUSING AUTHORITY,External,1,Project Manager,ADMINISTRATIVE INSPECTOR (HOUS,Competitive-1,"Administration & Human Resources Engineering, Architecture, & Planning",F,Manager,105000,115000,Annual
DEPARTMENT OF CORRECTION,External,3,Executive Assistant,COMMUNITY COORDINATOR,Non-Competitive-5,Administration & Human Resources,F,Entry-Level,54100,62215,Annual
LAW DEPARTMENT,External,1,"Assistant Corporation Counsel, Tax and Bankruptcy Litigation",ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),73579,133040,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,BUSINESS ANALYST,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),90000,100000,Annual
POLICE DEPARTMENT,Internal,7,Auto Service Worker,AUTOMOTIVE SERVICE WORKER,Competitive-1,Building Operations & Maintenance,,Experienced (non-manager),36474,42419,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,2,NEIGHBORHOOD OUTREACH LIAISON,COMMUNITY COORDINATOR,Non-Competitive-5,Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Line Area Manager, Bureau of Public Health Clinics",COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs Health,F,Experienced (non-manager),54100,62215,Annual
DEPARTMENT OF CORRECTION,Internal,1,"Supervisor, Evidence Collection",CORRECTIONAL STANDARDS REVIEW,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61302,70497,Annual
DEPARTMENT OF CORRECTION,Internal,1,STEAM FITTER,STEAM FITTER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),55,55,Hourly
TAXI & LIMOUSINE COMMISSION,Internal,1,IT Network Administrator,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),70000,81000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,ASSISTANT PROJECT MANAGER,ASSISTANT MECHANICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),57078,85646,Annual
LAW DEPARTMENT,Internal,3,CLAIM SPECIALIST,CLAIM SPECIALIST,Competitive-1,Legal Affairs,F,Experienced (non-manager),41483,47705,Annual
LAW DEPARTMENT,Internal,3,CLAIM SPECIALIST,CLAIM SPECIALIST,Competitive-1,Legal Affairs,F,Experienced (non-manager),41483,47705,Annual
DEPARTMENT OF CORRECTION,External,1,Deputy Director of Human Resources Employee Services Unit,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),84451,96000,Annual
DEPARTMENT OF INVESTIGATION,Internal,1,Administrative Assistant,CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),40017,53712,Annual
DEPARTMENT OF CITY PLANNING,External,1,ASSOCIATE SOFTWARE ENGINEER,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),95000,105000,Annual
DEPARTMENT FOR THE AGING,External,1,Project Manager,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning Social Services",F,Experienced (non-manager),74650,85847,Annual
MANHATTAN COMMUNITY BOARD #9,Internal,1,Community Associate,COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs,F,Entry-Level,42500,42500,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,WEB APPLICATION DEVELOPER,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),110000,115000,Annual
CONSUMER AND WORKER PROTECTION,Internal,1,Sr. Application Developer,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),92194,113000,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Program Monitoring & Compliance,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51550,65604,Annual
DEPARTMENT OF CORRECTION,Internal,2,Agency Attorney,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),63228,72712,Annual
DEPARTMENT OF TRANSPORTATION,External,2,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
HUMAN RIGHTS COMMISSION,Internal,1,Mediation Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),54100,83981,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Senior Program Manager, Lighting Systems",ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,90000,110000,Annual
DEPARTMENT OF CORRECTION,External,1,Associate Electrical Project Manager,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,85847,Annual
DEPARTMENT OF CORRECTION,Internal,1,Bricklayer,BRICKLAYER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),380.94,380.94,Daily
DEPT OF ENVIRONMENT PROTECTION,External,2,Port Marine Engineer,PORT MARINE ENGINEER (DEP),Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),82330,116104,Annual
DEPARTMENT FOR THE AGING,External,1,Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),70611,81203,Annual
LAW DEPARTMENT,Internal,2,"Assistant Corporation Counsel, Special Federal Litigation",ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),75121,133040,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Compliance Scientist Water Ecology, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),Competitive-1,Health,F,Experienced (non-manager),52931,65740,Annual
LAW DEPARTMENT,Internal,1,COMPUTER ASSOCIATE (SOFTWARE),COMPUTER ASSOC (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),66597,76857,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,"ASSISTANT DEPUTY COMMISSIONER, NETWORK,TELEPHONY& CLIENT SER",COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Manager,80931,208826,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Anti-Corruption,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,36812,84395,Annual
OFFICE OF THE COMPTROLLER,External,1,Compliance Analyst,INVESTMENT ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),65000,80000,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,"Executive Director of Operations, Crossroads",ADMINISTRATIVE DIRECTOR OF RES,Competitive-1,Social Services,F,Manager,72038,100000,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Energy Manager,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning Health Building Operations & Maintenance",F,Experienced (non-manager),85000,100000,Annual
DISTRICT ATTORNEY RICHMOND COU,Internal,1,Assistant District Attorney - Domestic Violence Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,Legal Affairs,F,Manager,77000,93000,Annual
ADMIN TRIALS AND HEARINGS,External,1,Appeals College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Legal Affairs,P,Student,15.5,17.3,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,External,4,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,45722,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,SENIOR PLANNER FOR PURPOSE BUILT SHELTER,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),74650,109409,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,PAMS Manager,ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,Social Services,F,Experienced (non-manager),58700,63301,Annual
DEPARTMENT OF INVESTIGATION,External,1,Timekeeper,CLERICAL ASSOCIATE,Competitive-1,"Administration & Human Resources Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),36390,55000,Annual
